repo	score	disk_kb	lang	stars	description
nkottary/vm	8	208	C	4	Bytecode interpreter for a stack machine
notozeki/nacl-mruby	8	312	C	4	mruby interpreter works on Native Client
pbui/adder	8	7	C	4	Simple Interpreter Inspired by Python
peterwankman/libisp	8	311	C	4	Lisp interpreter based on SICP
phunanon/Barebrain	8	64	C	4	Relatively fast, cleanly written C and Python Brainfuck interpreters
rbryan/rplisp	8	264	C	4	RPL interpreter.
segfault802/chip8	8	212	C	4	An interpreter for the CHIP-8 architecture
sftp/kbrainfuck	8	176	C	4	Brainfuck interpreter for linux kernel
shurizzle/brainfuck	8	131	C	4	A simple brainfuck interpreter
soh-cah-toa/egghead	8	148	C	4	A GNU-compliant brainfuck interpreter.
bertmuthalaly/roots	8	100	C	4	a lisp interpreter in C
vtols/Scheme	8	656	C	4	Scheme interpreter implementation
wilt00x/brainfuck-interpreter	8	1	C	4	🧠 A simple Brainfuck interpreter implementing 10 instructions and a stack.
yuanchenyang/TI89-Scheme	8	116	C	4	A scheme interpreter for the TI89 graphing calculator, written in C.
acros/CDECL	8	116	C	3	C language declaration interpreter
alabid/scheme_interpreter	8	607	C	3	SCHEME interpreter implemented in C.
alandipert/shave	8	86	C	3	a wannabe lisp interpreter
andersonsp/picol	8	124	C	3	Fork of Antirez's picol interpreter, to use as configuration language for my C programs
andrewchambers/bfjit_x86_64	8	112	C	3	a brainfuck interpreter for x86_64 that uses jit 
angavrilov/exhaust-asm	8	144	C	3	Reimplementation of the interpreter in Intel Core 2 64-bit assembly with SSE3 & 4.1
axknightroad/SQL_Compiler	8	24	C	3	a Linux SQL interpreter
baguette/tiny7	8	122	C	3	A small-footprint, embeddable interpreter for R7RS-small Scheme
butcherg/ldpi	8	108	C	3	Ladder logic interpreter for the Raspberry Pi.  Uses byte code files produced by ldmicro.
cachehash/bfdc	8	152	C	3	bfdc is an optimizing brainfuck compiler/interpreter
clhodapp/blip	8	144	C	3	An interpreter for the blip programming language. It's currently not useful at all.
CorridoniMatias/kemmens	8	526	C	3	Biblioteca Multiuso para C - Socket Server - Socket Client - Thread Pool - Serialization - Command Interpreter
cyberpython/Bfck	8	90	C	3	A simple Brainfuck interpreter written in C
darkfire000/BF-Interpreter	8	1	C	3	BF interpreter written in C. Just a test and not optimized to work or look good.
dbetz/etalk	8	20	C	3	A Simple Object-Oriented Language
devenbhooshan/AssToC	8	132	C	3	Assembly Language Interpreter in C
devonsparks/whitney	8	3	C	3	My annotated copy of Arthur Whitney's "afternoon interpreter"
edwinsoen/x86-interpreter	8	160	C	3	Small x86 interpreter for CS6270
ELLIOTTCABLE/Old-World-Paws.c	8	376	C	3	A run at an ISO C99 Paws interpreter
